kind,description,ua
Browsers - Mac,Firefox 3.5 (OS X 10.5 Intel),Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.5; en-US; rv:1.9.1) Gecko/20090624 Firefox/3.5
Browsers - Mac,Firefox 3.6 (OS X 10.6 Intel),Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.2.14) Gecko/20110218 AlexaToolbar/alxf-2.0 Firefox/3.6.14
Browsers - Mac,Firefox 3.6 (OS X 10.5 PPC),Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10.5; en-US; rv:1.9.2.15) Gecko/20110303 Firefox/3.6.15
Browsers - Mac,Firefox 4.0.1 (OS X 10.6 Intel),Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:2.0.1) Gecko/20100101 Firefox/4.0.1
Browsers - Mac,Firefox 5.0 (OS X 10.6 Intel),Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:5.0) Gecko/20100101 Firefox/5.0
Browsers - Mac,Firefox 9.0 (OS X 10.6 Intel),Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:9.0) Gecko/20100101 Firefox/9.0
Browsers - Mac,Firefox 10.0.1 (OS X 10.6 Intel),Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2; rv:10.0.1) Gecko/20100101 Firefox/10.0.1
Browsers - Mac,Firefox 16.0 (OS X 10.8 Intel),Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:16.0) Gecko/20120813 Firefox/16.0
Browsers - Mac,MSIE 5.15 (OS 9),Mozilla/4.0 (compatible; MSIE 5.15; Mac_PowerPC)
Browsers - Mac,Omniweb 563.15 (OS X PPC),"Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en-US) AppleWebKit/125.4 (KHTML, like Gecko, Safari) OmniWeb/v563.15"
Browsers - Mac,Opera 9.0 (OS X PPC),Opera/9.0 (Macintosh; PPC Mac OS X; U; en)
Browsers - Mac,Opera 9.20 (OS X Intel),Opera/9.20 (Macintosh; Intel Mac OS X; U; en)
Browsers - Mac,Opera 9.64 (OS X PPC),Opera/9.64 (Macintosh; PPC Mac OS X; U; en) Presto/2.1.1
Browsers - Mac,Opera 10.61 (id as 9.8) (OS X Intel),Opera/9.80 (Macintosh; Intel Mac OS X; U; en) Presto/2.6.30 Version/10.61
Browsers - Mac,Opera 11.00 (id as 9.8) (OS X Intel),Opera/9.80 (Macintosh; Intel Mac OS X 10.4.11; U; en) Presto/2.7.62 Version/11.00
Browsers - Mac,Safari 85 (OS X PPC),"Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/125.2 (KHTML, like Gecko) Safari/85.8"
Browsers - Mac,Safari 125.8 (OS X PPC),"Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/125.2 (KHTML, like Gecko) Safari/125.8"
Browsers - Mac,Safari 312.3 (OS X PPC),"Mozilla/5.0 (Macintosh; U; PPC Mac OS X; fr-fr) AppleWebKit/312.5 (KHTML, like Gecko) Safari/312.3"
Browsers - Mac,Safari 419.3 (OS X PPC),"Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/418.8 (KHTML, like Gecko) Safari/419.3"
Browsers - Mac,Chrome 26.0 (OS X 10_8_4 Intel),Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.31 (KHTML like Gecko) Chrome/26.0.1410.63 Safari/537.31
Browsers - Mac,Chrome 28.0 (OS X 10_8_3 Intel),Mozilla/5.0 (Macintosh; Intel Mac OS X 1083) AppleWebKit/537.36 (KHTML like Gecko) Chrome/28.0.1469.0 Safari/537.36
Browsers - Mac,Chrome 32.0 (OS X 10_9_0 Intel),"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1664.3 Safari/537.36"
Browsers - Mac,Chrome 36.0 (OS X 10_9_2 Intel),"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1944.0 Safari/537.36"
Browsers - Mac,Chrome 41.0 (OS X 10_10_1) Intel),"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2227.1 Safari/537.36"
Browsers - Mac,Chrome 51.0 (OS X 10_11_5) Intel),"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.84 Safari/537.36"
Browsers - Mac,Chrome 52.0 (OS X 10_10_1) Intel),"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
Browsers - Mac,Chrome 55.0 (OS X 10_10_5) Intel),"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2859.0 Safari/537.36"
Browsers - Mac,Chrome 60.0 (OS X 10_10_1) Intel),"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.90 Safari/537.36"
Browsers - Mac,Chrome 61.0 (OS X 10_10_5) Intel),"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.49 Safari/537.36"
Browsers - Mac,Firefox 20.0 (OS X 10.7 Intel),Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:20.0) Gecko/20100101 Firefox/20.0
Browsers - Mac,Firefox 21.0 (OS X 10.8 Intel),Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:21.0) Gecko/20100101 Firefox/21.0
Browsers - Mac,Firefox 25.0 (OS X 10.6 Intel),Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:25.0) Gecko/20100101 Firefox/25.0
Browsers - Mac,Firefox 35.0 (OS X 10.9 Intel),Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:35.0) Gecko/20100101 Firefox/35.0
Browsers - Mac,Firefox 40.0 (OS X 10.10 Intel),Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:40.0) Gecko/20100101 Firefox/40.0
Browsers - Mac,Firefox 47.0 (OS X 10.9 Intel),Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:47.0) Gecko/20100101 Firefox/47.0
Browsers - Mac,Firefox 49.0 (OS X 10.12 Intel),Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:49.0) Gecko/20100101 Firefox/49.0
Browsers - Mac,Firefox 55.0 (OS X 10.13 Intel),Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:55.0) Gecko/20100101 Firefox/55.0
Browsers - Mac,iTunes 4.2 (OS X 10.2 PPC),iTunes/4.2 (Macintosh; U; PPC Mac OS X 10.2)
Browsers - Mac,iTunes 9.0.3 (OS X 10_6_2),iTunes/9.0.3 (Macintosh; U; Intel Mac OS X 10_6_2; en-ca)
Browsers - Mac,Maxthon 4.5.2 (AppleWebKit 600.8) (OS X Intel),"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/600.8.9 (KHTML, like Gecko) Maxthon/4.5.2"
Browsers - Mac,Omniweb 622.8 (OS X Intel),"Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US) AppleWebKit/528.16 (KHTML, like Gecko, Safari/528.16) OmniWeb/v622.8.0.112941"
Browsers - Mac,Omniweb 622.8 (OS X 10_5_6 Intel),"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_6; en-US) AppleWebKit/528.16 (KHTML, like Gecko, Safari/528.16) OmniWeb/v622.8.0"
Browsers - Mac,Opera 11.52 (id as 9.8) (OS X Intel),Opera/9.80 (Macintosh; Intel Mac OS X 10.6.8; U; fr) Presto/2.9.168 Version/11.52
Browsers - Mac,Opera 28.0 (Blink) (OS X 10_10_2 Intel),"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.118 Safari/537.36 OPR/28.0.1750.51"
Browsers - Mac,Opera 29.0 (Blink) (OS X 10_10_2 Intel),"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.82 Safari/537.36 OPR/29.0.1795.41"
Browsers - Mac,Safari 531.21 (OS X 10_6_2 Intel),"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_2; en-us) AppleWebKit/531.21.8 (KHTML, like Gecko) Version/4.0.4 Safari/531.21.10"
Browsers - Mac,Safari 533.19 (OS X 10_6_5 Intel),"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_5; de-de) AppleWebKit/534.15  (KHTML, like Gecko) Version/5.0.3 Safari/533.19.4"
Browsers - Mac,Safari 533.20 (OS X 10_6_6 Intel),"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; en-us) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27"
Browsers - Mac,Safari 534.20 (OS X 10_7 Intel),"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7; en-us) AppleWebKit/534.20.8 (KHTML, like Gecko) Version/5.1 Safari/534.20.8"
Browsers - Mac,Safari 534.55 (OS X 10_7_3 Intel),"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_3) AppleWebKit/534.55.3 (KHTML, like Gecko) Version/5.1.3 Safari/534.53.10"
Browsers - Mac,Safari 534.57 (5.1.7) (OS X 10_6_8 Intel),"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.13+ (KHTML, like Gecko) Version/5.1.7 Safari/534.57.2"
Browsers - Mac,Safari 536.26 (6) (OS X 10_7_5 Intel),Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/536.26.17 (KHTML like Gecko) Version/6.0.2 Safari/536.26.17
Browsers - Mac,Safari 7 537.78 (OS X 10_9_5),Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.78.1 (KHTML like Gecko) Version/7.0.6 Safari/537.78.1
Browsers - Mac,Safari 7.0 537.75 (OS X 10_9_3),"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A"
Browsers - Mac,Safari 8.0 600.8 (OS X 10_10_5),"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/600.8.9 (KHTML, like Gecko) Version/8.0.8 Safari/600.8.9"
Browsers - Mac,Safari 9.0 601.1.56 (OS X 10_11),"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.56 (KHTML, like Gecko) Version/9.0 Safari/601.1.56"
Browsers - Mac,Safari 10.1 601.7 (OS X 10_11_6),"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/601.7.8 (KHTML, like Gecko) Version/10.1 Safari/603.1.30"
Browsers - Mac,Safari 10.0 602.1 (OS X 10_10_5),"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.1.50 (KHTML, like Gecko) Version/10.0 Safari/602.1.50"
Browsers - Mac,SeaMonkey 2.7.1 (OS X 10.5 - Mozilla),Mozilla/5.0 (Macintosh; Intel Mac OS X 10.5; rv:10.0.1) Gecko/20100101 Firefox/10.0.1 SeaMonkey/2.7.1
Browsers - Mac,Silk 1.0.13 (AppleWebKit 533.16) 2.9 (Mac OS X 10_6_3),"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_3; en-us; Silk/1.0.13.81_10003810) AppleWebKit/533.16 (KHTML, like Gecko) Version/5.0 Safari/533.16 Silk-Accelerated=true"
Browsers - Mac,Vivaldi 1.0.162 (Chrome 41) (Mac OS X 10_10_3),"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.105 Safari/537.36 Vivaldi/1.0.162.9"
Browsers - Linux,Elinks 0.4pre5,ELinks (0.4pre5; Linux 2.6.10-ac7 i686; 80x33)
Browsers - Linux,ELinks 0.9.3 (Kanotix),ELinks/0.9.3 (textmode; Linux 2.6.9-kanotix-8 i686; 127x41)
Browsers - Linux,ELinks 0.12~pre5-4,ELinks/0.12~pre5-4
Browsers - Linux,Links 0.9.1,Links/0.9.1 (Linux 2.4.24; i386;)
Browsers - Linux,Links 2.1,Links (2.1pre15; Linux 2.4.26 i686; 158x61)
Browsers - Linux,Links 2.3pre1,Links (2.3pre1; Linux 2.6.38-8-generic x86_64; 170x48)
Browsers - Linux,Lynx 2.8.5rel.1,Lynx/2.8.5rel.1 libwww-FM/2.14 SSL-MM/1.4.1 GNUTLS/0.8.12
Browsers - Linux,w3m 0.5.1,w3m/0.5.1
Browsers - Linux,Chrome 4.0 (Debian),"Mozilla/5.0 (X11; U; Linux i686; en-US) AppleWebKit/532.4 (KHTML, like Gecko) Chrome/4.0.237.0 Safari/532.4 Debian"
Browsers - Linux,Chrome 4.0,"Mozilla/5.0 (X11; U; Linux i686; en-US) AppleWebKit/532.8 (KHTML, like Gecko) Chrome/4.0.277.0 Safari/532.8"
Browsers - Linux,Chrome 5.0,"Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/532.9 (KHTML, like Gecko) Chrome/5.0.309.0 Safari/532.9"
Browsers - Linux,Chrome 7.0 (64 bit),"Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.7 (KHTML, like Gecko) Chrome/7.0.514.0 Safari/534.7"
Browsers - Linux,Chrome 9.1 (Ubuntu 64 bit),"Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/540.0 (KHTML, like Gecko) Ubuntu/10.10 Chrome/9.1.0.0 Safari/540.0"
Browsers - Linux,Chrome 10.0 (64 bit),"Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.15 (KHTML, like Gecko) Chrome/10.0.613.0 Safari/534.15"
Browsers - Linux,Chrome 10.0 (Ubuntu 32 bit),"Mozilla/5.0 (X11; U; Linux i686; en-US) AppleWebKit/534.15 (KHTML, like Gecko) Ubuntu/10.10 Chromium/10.0.613.0 Chrome/10.0.613.0 Safari/534.15"
Browsers - Linux,Chrome 12.0 (Ubuntu 64 bit),"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Ubuntu/10.10 Chromium/12.0.703.0 Chrome/12.0.703.0 Safari/534.24"
Browsers - Linux,Chrome 13.0 (64 bit),"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.20 Safari/535.1"
Browsers - Linux,Chrome 13.0 (Slackware 13.37 64 bit),"Mozilla/5.0 Slackware/13.37 (X11; U; Linux x86_64; en-US) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/13.0.782.41"
Browsers - Linux,Chrome 14.0 (Ubuntu 11.04),"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.1 (KHTML, like Gecko) Ubuntu/11.04 Chromium/14.0.825.0 Chrome/14.0.825.0 Safari/535.1"
Browsers - Linux,Chrome 15.0 (Ubuntu 11.10),"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.2 (KHTML, like Gecko) Ubuntu/11.10 Chromium/15.0.874.120 Chrome/15.0.874.120 Safari/535.2"
Browsers - Linux,Chrome 19.0 (64 bit),"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.5 (KHTML, like Gecko) Chrome/19.0.1084.9 Safari/536.5"
Browsers - Linux,Epiphany 1.2 - Gecko,Mozilla/5.0 (X11; U; Linux; i686; en-US; rv:1.6) Gecko Epiphany/1.2.5
Browsers - Linux,Epiphany 1.4 - Gecko (Ubuntu),Mozilla/5.0 (X11; U; Linux i586; en-US; rv:1.7.3) Gecko/20040924 Epiphany/1.4.4 (Ubuntu)
Browsers - Linux,Firefox 0.8,Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.6) Gecko/20040614 Firefox/0.8
Browsers - Linux,Firefox 2.0.0.12 (Ubuntu 7.10),Mozilla/5.0 (X11; U; Linux x86_64; sv-SE; rv:1.8.1.12) Gecko/20080207 Ubuntu/7.10 (gutsy) Firefox/2.0.0.12
Browsers - Linux,Firefox 3.0.12 - (Ubuntu karmic 9.10),Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.11) Gecko/2009060309 Ubuntu/9.10 (karmic) Firefox/3.0.11
Browsers - Linux,Firefox 3.5.2 - Shiretoko (Ubuntu 9.04),Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.1.2) Gecko/20090803 Ubuntu/9.04 (jaunty) Shiretoko/3.5.2
Browsers - Linux,Firefox 3.5.5,Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.9.1.5) Gecko/20091107 Firefox/3.5.5
Browsers - Linux,Firefox 3.5.3 (Mint 8),Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.9.1.3) Gecko/20091020 Linux Mint/8 (Helena) Firefox/3.5.3
Browsers - Linux,Firefox 3.6.9 (Gentoo 64 bit),Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.9.2.9) Gecko/20100915 Gentoo Firefox/3.6.9
Browsers - Linux,Firefox 3.8 (Ubuntu/9.25),Mozilla/5.0 (X11; U; Linux i686; pl-PL; rv:1.9.0.2) Gecko/20121223 Ubuntu/9.25 (jaunty) Firefox/3.8
Browsers - Linux,Firefox 4.0b6pre (32 bit),Mozilla/5.0 (X11; Linux i686; rv:2.0b6pre) Gecko/20100907 Firefox/4.0b6pre
Browsers - Linux,Firefox 4.0.1 (32 on 64 bit),Mozilla/5.0 (X11; Linux i686 on x86_64; rv:2.0.1) Gecko/20100101 Firefox/4.0.1
Browsers - Linux,Firefox 4.0.1 (32 bit),Mozilla/5.0 (X11; Linux i686; rv:2.0.1) Gecko/20100101 Firefox/4.0.1
Browsers - Linux,Firefox 4.0.1 (64 bit),Mozilla/5.0 (X11; Linux x86_64; rv:2.0.1) Gecko/20100101 Firefox/4.0.1
Browsers - Linux,Firefox 4.2a1pre (64 bit),Mozilla/5.0 (X11; Linux x86_64; rv:2.2a1pre) Gecko/20100101 Firefox/4.2a1pre
Browsers - Linux,Firefox 5.0 (32 bit),Mozilla/5.0 (X11; Linux i686; rv:5.0) Gecko/20100101 Firefox/5.0
Browsers - Linux,Firefox 6.0 (32 bit),Mozilla/5.0 (X11; Linux i686; rv:6.0) Gecko/20100101 Firefox/6.0
Browsers - Linux,Firefox 7.0a1 (64 bit),Mozilla/5.0 (X11; Linux x86_64; rv:7.0a1) Gecko/20110623 Firefox/7.0a1
Browsers - Linux,Firefox 8.0 (32 bit),Mozilla/5.0 (X11; Linux i686; rv:8.0) Gecko/20100101 Firefox/8.0
Browsers - Linux,Firefox 10.0.1 (64 bit),Mozilla/5.0 (X11; Linux x86_64; rv:10.0.1) Gecko/20100101 Firefox/10.0.1
Browsers - Linux,Firefox 11.0 (32 bit),Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.1.16) Gecko/20120421 Gecko Firefox/11.0
Browsers - Linux,Firefox 12.0 (32 bit),Mozilla/5.0 (X11; Linux i686; rv:12.0) Gecko/20100101 Firefox/12.0
Browsers - Linux,Firefox 14.0.1 (Ubuntu 64 bit),Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:14.0) Gecko/20100101 Firefox/14.0.1
Browsers - Linux,Galeon 1.3,Mozilla/5.0 (X11; U; Linux; i686; en-US; rv:1.6) Gecko Galeon/1.3.14
Browsers - Linux,Iceape (SeaMonkey) 1.1.9 (Debian),Mozilla/5.0 (X11; U; Linux ppc; en-US; rv:1.8.1.13) Gecko/20080313 Iceape/1.1.9 (Debian-1.1.9-5)
Browsers - Linux,Iceweasel (Firefox) 3.6.3 (Debian),Mozilla/5.0 (X11; U; Linux i686; pt-PT; rv:1.9.2.3) Gecko/20100402 Iceweasel/3.6.3 (like Firefox/3.6.3) GTB7.0
Browsers - Linux,Iceweasel (Firefox) 5.0 (Debian 64),Mozilla/5.0 (X11; Linux x86_64; rv:5.0) Gecko/20100101 Firefox/5.0 Iceweasel/5.0
Browsers - Linux,Iceweasel (Firefox) 6.0a2 (Debian 32),Mozilla/5.0 (X11; Linux i686; rv:6.0a2) Gecko/20110615 Firefox/6.0a2 Iceweasel/6.0a2
Browsers - Linux,Iceweasel (Firefox) 14.0.1,Mozilla/5.0 (X11; Linux i686; rv:14.0) Gecko/20100101 Firefox/14.0.1 Iceweasel/14.0.1
Browsers - Linux,Iceweasel (Firefox) 15.02 (Debian),Mozilla/5.0 (X11; Linux x86_64; rv:15.0) Gecko/20120724 Debian Iceweasel/15.02
Browsers - Linux,Konqueror 3 rc4 - khtml,Konqueror/3.0-rc4; (Konqueror/3.0-rc4; i686 Linux;;datecode)
Browsers - Linux,Konqueror 3.3 - khtml (Gentoo),Mozilla/5.0 (compatible; Konqueror/3.3; Linux 2.6.8-gentoo-r3; X11;
Browsers - Linux,Konqueror 3.5 - khtml (Debian),Mozilla/5.0 (compatible; Konqueror/3.5; Linux 2.6.30-7.dmz.1-liquorix-686; X11) KHTML/3.5.10 (like Gecko) (Debian package 4:3.5.10.dfsg.1-1 b1)
Browsers - Linux,Konqueror 3.5.6 - khtml (Kubuntu),Mozilla/5.0 (compatible; Konqueror/3.5; Linux; en_US) KHTML/3.5.6 (like Gecko) (Kubuntu)
Browsers - Linux,Minefield (Firefox Nightly) 4.0b2pre,Mozilla/5.0 (X11; Linux x86_64; en-US; rv:2.0b2pre) Gecko/20100712 Minefield/4.0b2pre
Browsers - Linux,Mozilla 1.6 (Debian),Mozilla/5.0 (X11; U; Linux; i686; en-US; rv:1.6) Gecko Debian/1.6-7
Browsers - Linux,Opera 7.23,MSIE (MSIE 6.0; X11; Linux; i686) Opera 7.23
Browsers - Linux,Opera 9.64 (Linux Mint),Opera/9.64 (X11; Linux i686; U; Linux Mint; nb) Presto/2.1.1
Browsers - Linux,Opera 10.10 (id as 9.8),Opera/9.80 (X11; Linux i686; U; en) Presto/2.2.15 Version/10.10
Browsers - Linux,Opera 11.00 (id as 9.8),Opera/9.80 (X11; Linux x86_64; U; pl) Presto/2.7.62 Version/11.00
Browsers - Linux,QupZilla 1.2 (Webkit 534.34),"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.34 (KHTML, like Gecko) QupZilla/1.2.0 Safari/534.34"
Browsers - Linux,SeaMonkey 2.0.12 (Mozilla),Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.9.1.17) Gecko/20110123 SeaMonkey/2.0.12
Browsers - Linux,Swiftfox 2.0,Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.8.1) Gecko/20061024 Firefox/2.0 (Swiftfox)
Browsers - Linux,Arora 0.11 - WebKit,"Mozilla/5.0 (X11; U; Linux; en-US) AppleWebKit/527  (KHTML, like Gecko, Safari/419.3) Arora/0.10.1"
Browsers - Linux,Chrome 20.0 (CrOS),"Mozilla/5.0 (X11; CrOS i686 2268.111.0) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11"
Browsers - Linux,Chrome 22.0 (64 bit),Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.4 (KHTML like Gecko) Chrome/22.0.1229.56 Safari/537.4
Browsers - Linux,Chrome 28.0 (32 bit),"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1478.0 Safari/537.36"
Browsers - Linux,Chrome 36.0 (CrOS),Mozilla/5.0 (X11; CrOS x86_64 5841.83.0) AppleWebKit/537.36 (KHTML like Gecko) Chrome/36.0.1985.138 Safari/537.36
Browsers - Linux,Chrome 36.0 (64 bit),Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/36.0.1985.125 Safari/537.36
Browsers - Linux,Chrome 39.0 (32 bit),"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2166.2 Safari/537.36"
Browsers - Linux,Chrome 41.0 (64 bit),"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2227.0 Safari/537.36"
Browsers - Linux,Chrome 43.0 (64 bit),"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.93 Safari/537.36"
Browsers - Linux,Chrome 44.0 (32 bit),"Mozilla/5.0 (X11; Linux i686 (x86_64)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.130 Safari/537.36"
Browsers - Linux,Chrome 52.0 (Fedora 64 bit),"Mozilla/5.0 (X11; Fedora; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
Browsers - Linux,Chrome 55.0 (64 bit),"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2876.0 Safari/537.36"
Browsers - Linux,Chrome 62.0 (32 bit),"Mozilla/5.0 (X11; Linux i686 (x86_64)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3187.0 Safari/537.366"
Browsers - Linux,Chrome 62.0 (Fedora s64 bit),"Mozilla/5.0 (X11; Fedora; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3178.0 Safari/537.36"
Browsers - Linux,Chromium 25.0 (Ubuntu 32 bit),Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.22 (KHTML like Gecko) Ubuntu Chromium/25.0.1364.160 Chrome/25.0.1364.160 Safari/537.22
Browsers - Linux,Chromium 33.0 (Ubuntu 64 bit),"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/33.0.1750.152 Chrome/33.0.1750.152 Safari/537.36"
Browsers - Linux,Chromium 51.0 (Ubuntu 32 bit),"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/51.0.2704.79 Chrome/51.0.2704.79 Safari/537.36"
Browsers - Linux,Chromium 60.0 (Ubuntu 32 bit),"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/60.0.3112.78 Chrome/60.0.3112.78 Safari/537.36"
Browsers - Linux,Dillo 3.0,Mozilla/4.0 (compatible; Dillo 3.0)
Browsers - Linux,Epiphany - WebKit (528.5),"Mozilla/5.0 (X11; U; Linux i686; en-us) AppleWebKit/528.5  (KHTML, like Gecko, Safari/528.5 ) lt-GtkLauncher"
Browsers - Linux,Epiphany 3.8.2 - WebKit (537.32),"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.32 (KHTML, like Gecko) Chromium/25.0.1349.2 Chrome/25.0.1349.2 Safari/537.32 Epiphany/3.8.2"
Browsers - Linux,Epiphany 3.24 (Ubuntu - Webkit 604.1),"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/604.1 (KHTML, like Gecko) Version/11.0 Safari/604.1 Ubuntu/17.04 (3.24.1-0ubuntu1) Epiphany/3.24.1"
Browsers - Linux,Firefox 16.0 (32 bit),Mozilla/5.0 (X11; Linux i686; rv:16.0) Gecko/20100101 Firefox/16.0
Browsers - Linux,Firefox 19.0 (Slackware 13 32 bit),Mozilla/5.0 (X11; U; Linux i686; rv:19.0) Gecko/20100101 Slackware/13 Firefox/19.0
