description,ua
guruji : the Indian search engine picture crawler,GurujiImageBot/1.0 (+http://www.guruji.com/en/WebmasterFAQ.html)
Openwave Mobile Browser on Haier T10C mobile,Haier-T10C/1.0 iPanel/2.0 WAP2.0 (compatible; UP.Browser/6.2.2.4; UPG1; UP/4.0; Embedded)
Happy Fun Search robot,HappyFunBot/1.1
Harvest-NG web crawler used by search.yahoo.com,Harvest-NG/1.0.2
Haste - web mapping and monitoring system,Haste/0.12 (HOME: http://haste.kytoon.com/)
Hatena::Antenna Japan robot,Hatena Antenna/0.4 (http://a.hatena.ne.jp/help#robot)
Hatena Japan proxy for handheld/mobile clients,Hatena Mobile Gateway/1.0
Hatena Japan robot,Hatena Pagetitle Agent/1.0
Hatena Japan RSS feed robot,Hatena RSS/0.3 (http://r.hatena.ne.jp)
Hatena::Diary (Japan) web page screenshot robot,HatenaScreenshot/1.0 (checker)
hbtronix.spider - Domain name spider (Germany),hbtronix.spider.2 -- http://hbtronix.de/spider.php
Mirago Germany robot,HeinrichderMiragoRobot
Mirago Germany robot,HeinrichderMiragoRobot (http://www.miragorobot.com/scripts/deinfo.asp)
Helix - The SiteSearch (Canada) web crawler,Helix/1.x ( http://www.sitesearch.ca/helix/)
Mirago France robot,HenriLeRobotMirago (http://www.miragorobot.com/scripts/frinfo.asp)
Mirago search (UK) robot,HenrytheMiragoRobot
Mirago search (UK) robot,HenryTheMiragoRobot (http://www.miragorobot.com/scripts/mrinfo.asp)
O'Reilly's Perl LWP example client program from Web Client Programming with Perl,hgrepurl/1.0
University of Kassel Germany CsCrawler using the HTTPClient library,Hi! I'm CsCrawler my homepage: http://www.kde.cs.uni-kassel.de/lehre/ss2005/googlespam/crawler.html RPT-HTTPClient/0.3-3
HiDownload download manager,HiDownload
Hippias robot,Hippias/0.9 Beta
Pilot Hitlist web analytics solution,HitList
Hitwise spider,Hitwise Spider v1.0 http://www.hitwise.com
diff. IPs / unknown services,HLoader
Morfeo / Centrum Search (Czech Republic) robot from 65.102.46.xxx,holmes/3.11 (http://morfeo.centrum.cz/bot)
Onet.pl (Poland) search robot,holmes/3.9 (onet.pl)
Onet.pl (Poland) search robot,holmes/3.xx (OnetSzukaj/5.0; +http://szukaj.onet.pl)
Morfeo / Centrum Search (Czech Republic) robot from 65.102.46.xxx,holmes/x.x
Holes search robot (Georgia),HolmesBot (http://holmes.ge)
HomePageSearch robot,HomePageSearch(hpsearch.uni-trier.de)
Homerweb search robot,Homerbot: www.homerweb.com
Honda-Search.com - Honda cars related search robot,Honda-Search/0.7.2 (Nutch; http://lucene.apache.org/nutch/bot.html; search@honda-search.com)
HooWWer - Next Generation Information Retrieval robot ,HooWWWer/2.1.3 (debugging run) (+http://cosco.hiit.fi/search/hoowwwer/ | mailto:crawler-info<at>hiit.fi)
HooWWer - Next Generation Information Retrieval robot (128.214.112.xx),HooWWWer/2.1.x ( http://cosco.hiit.fi/search/hoowwwer/ | mailto:crawler-info<at>hiit.fi)
HotJava browser plus HTML Component 1.1.x,HotJava/1.0.1/JRE1.1.x
Hotzuno - Japanese BBS reader client,Hotzonu/x.0
Unknown robot from HP Labs,HPL/Nutch-0.9 -
COMPUTERorgs.com robot (205.134.190.xxx) using htdig,htdig/3.1.6 (http://computerorgs.com)
htdig used by the Academie de Toulouse,htdig/3.1.6 (unconfigured@htdig.searchengine.maintainer)
htdig search tool,htdig/3.1.x (root@localhost)
Lithops Software link validation tool,Html Link Validator (www.lithopssoft.com)
HTML2JPG webpage to image converter,"HTML2JPG Blackbox, http://www.html2jpg.com"
HTML2JPG webpage to image converter,HTML2JPG Enterprise
HTML Parser Java library to parse HTML,HTMLParser/1.x
PHP HTTP client to access Web servers,HTTP Retriever
Anonymous web proxy service,http://Anonymouse.org/ (Unix)
Ask 24x Info (Germany) DMOZ related robot,http://Ask.24x.Info/ (http://narres.it/)
ACONTBOT - Acont search Germany robot,http://hilfe.acont.de/bot.html ACONTBOT
OzySoftware.com software directory link checking,http://OzySoftware.com/Index.html
IBM's Almaden Research robot,http://www.almaden.ibm.com/cs/crawler
IBM's Almaden Research robot,http://www.almaden.ibm.com/cs/crawler [rc1.wf.ibm.com]
IBM's Almaden Research robot,http://www.almaden.ibm.com/cs/crawler [wf216]
Istarthere.com search robot,http://www.istarthere.com_spider@istarthere.com
Monogol - German open source search engine project (195.226.167.1xx),http://www.monogol.de
TrendTech Search Engine (Denmark) robot,http://www.trendtech.dk/spider.asp)
HTTP::Lite - Standalone Perl module for retreiving HTTP documents,HTTP::Lite/2.x.x
HTTPEyes - Web proxy cache,HTTPEyes
HTTPResume Amiga download manager,HTTPResume v. 1.x
HttpUnit - Java test code for emulating browser behaviour,httpunit/1.5
HttpUnit - Java browser behavior simulation tool,httpunit/1.x
Hybrid Share mono C#/Gtk# application for file sharing,Hybrid/1.2 [en] (OS Independent)
Hyper Estraier full-text search system,HyperEstraier/1.x.xx
i1search robot,i1searchbot/2.0 (i1search web crawler; http://www.i1search.com; crawler@i1search.com)
Alexa / The Internet Archive (209.237.238.1xx),IAArchiver-1.0
Unknown robot (reads robots.txt) from chinatelecom (219.142.78.xx),iaskspider
Iask search / Sina portal robot (China),iaskspider2 (iask@staff.sina.com.cn)
Alexa / The Internet Archive (209.237.238.1xx),ia_archiver
Alexa / The Internet Archive (209.237.238.1xx),ia_archiver-web.archive.org
Alexa / The Internet Archive (209.237.238.1xx),ia_archiver/1.6
IOSpirit iBrowse Amiga Browser,IBrowse/2.2 (AmigaOS 3.5)
IOSpirit iBrowse Amiga Browser,IBrowse/2.2 (Windows 3.1)
iCab MAC Web browser,iCab/2.5.2 (Macintosh; I; PPC)
Knowledge Clustered Group ICC-Crawler (University of Tokyo - Japan),ICC-Crawler(Mozilla-compatible; http://kc.nict.go.jp/icc/crawl.html; icc-crawl(at)ml(dot)nict(dot)go(dot)jp)
Knowledge Clustered Group ICC-Crawler (University of Tokyo - Japan),ICC-Crawler(Mozilla-compatible;http://kc.nict.go.jp/icc/crawl.html;icc-crawl-contact(at)ml(dot)nict(dot)go(dot)jp)
ICJobs - Intelligence Competence Center (Germany) robot,iCCrawler (http://www.iccenter.net)
ICJobs - Intelligence Competence Center (Germany) robot,ICCrawler - ICjobs (http://www.icjobs.de/bot.htm)
ICE Java browser,ICE Browser/5.05 (Java 1.4.0; Windows 2000 5.0 x86)
Goo Japan / Inktomi robot (210.173.179.xx),ichiro/x.0 (http://help.goo.ne.jp/door/crawler.html)
Goo Japan / Inktomi robot (210.173.179.xx),ichiro/x.0 (ichiro@nttr.co.jp)
Iconsurf.com - Visual Surf Engine / favicon finder,IconSurf/2.0 favicon finder (see http://iconsurf.com/robot.html)
Iconsurf.com - Visual Surf Engine / favicon finder,IconSurf/2.0 favicon monitor (see http://iconsurf.com/robot.html)
icooLoader download manager,ICOO Loader v.x.x.x
ICRA (Internet Content Rating Association) label spider,ICRA_label_spider/x.0
ICS Robot Search Engine (International Christian school of Seoul),icsbot-0.1
Internet Download Accelerator,IDA
Janas (Ideare.com / Tiscali.it) robot,ideare - SignSite/1.x
Unknown UA from Yahoo China,"iearthworm/1.0, iearthworm@yahoo.com.cn"
Some bookmark manager,IEFav172Free
iFeed.jp - online rss aggregator (in development),iFeed.jp/2.0 (www.psychedelix.com/agents/agents.rss; 0 subscribers)
Igde search (Russia) robot,igdeSpyder (compatible; igde.ru; +http://igde.ru/doc/tech.html)
iGetter download manager,iGetter/1.x (Macintosh;G;PPC)
iGetter download manager,iGetter/2 (Macintosh; U; PPC Mac OS X; en)
Webkhoj - Indian language search engine,IIITBOT/1.1 (Indian Language Web Search Engine; http://webkhoj.iiit.net; pvvpr at iiit dot ac dot in)
Ilial Knowledge Search robot,"ilial/Nutch-0.9 (Ilial, Inc. is a Los Angeles based Internet startup company. For more information please visit http://www.ilial.com/crawler; http://www.ilial.com/crawler; crawl@ilial.com)"
Unknown robot from UCLA using Nutch,ilial/Nutch-0.9-dev
Ilse Netherlands robot (62.69.178.xx),IlseBot/1.x
Il Trovatore - Italian search engine robot,IlTrovatore-Setaccio ( http://www.iltrovatore.it)
Il Trovatore - Italian search engine robot,Iltrovatore-Setaccio/0.3-dev (Indexing; http://www.iltrovatore.it/bot.html; info@iltrovatore.it)
Il Trovatore - Italian search engine robot,IlTrovatore-Setaccio/1.2 ( http://www.iltrovatore.it/aiuto/faq.html)
Il Trovatore - Italian search engine robot,Iltrovatore-Setaccio/1.2 (It-bot; http://www.iltrovatore.it/bot.html; info@iltrovatore.it)
Il Trovatore - Italian search engine robot,iltrovatore-setaccio/1.2-dev (spidering; http://www.iltrovatore.it/aiuto/.....)
Il Trovatore - Italian search engine robot,IlTrovatore/1.2 (IlTrovatore; http://www.iltrovatore.it/bot.html; bot@iltrovatore.it)
ImageVisu image and graphics viewer - display files from the Web (HTTP and ECWP),ImageVisu/v4.x.x
BD-Brandprotect copyright infringement crawler,ImageWalker/2.0 (www.bdbrandprotect.com)
HttpClient - a PHP Web Client Class,Incutio HttpClient v0.x
IncyWincy search engine using DMOZ Open Directory database,IncyWincy data gatherer(webmaster@loopimprovements.com
IncyWincy search engine using DMOZ Open Directory database,IncyWincy page crawler(webmaster@loopimprovements.com
Look.com robot using IncyWincy search engine,IncyWincy(http://www.look.com)
IncyWincy search engine using DMOZ Open Directory database,IncyWincy(http://www.loopimprovements.com/robot.html)
IncyWincy search engine using DMOZ Open Directory database,IncyWincy/2.1(loopimprovements.com/robot.html)
Index the Web (69.57.134.xx) crawler,IndexTheWeb.com Crawler7
Spam bot from diff. IPs,Industry Program 1.0.x
Inet Library Resource Center robot,Inet library
InetURL IVM (phone software) plugin for web server access ?,InetURL/1.0
Pubblisito.com search - Italia,info@pubblisito.com- (http://www.pubblisito.com) il Sud dei Motori di Ricerca
Infoaxe - search history and bookmark service,Infoaxe./Nutch-0.9
Converas RetrievalWare Internet Spider (63.241.61.x),infoConveraCrawler/0.8 ( http://www.authoritativeweb.com/crawl)
Versions-project.org Ingelin spider,InfoFly/1.0 (http://www.versions-project.org/)
InfoLink link checking tool,InfoLink/1.x
INFOMINE Scholary Internet Resource Collection crawler,INFOMINE/8.0 Adders
INFOMINE Scholary Internet Resource Collection crawler,INFOMINE/8.0 RemoteServices
INFOMINE Scholary Internet Resource Collection crawler,INFOMINE/8.0 VLCrawler (http://infomine.ucr.edu/useragents)
164.71.1.1xx jp.co.fujitsu.t2 Robot,InfoNaviRobot(F107)
Infoseek robot,InfoSeek Sidewinder/0.9
Infoseek robot,InfoSeek Sidewinder/1.0A
Infoseek robot,InfoSeek Sidewinder/1.1A
Infoseek robot,Infoseek SideWinder/1.45 (Compatible; MSIE 10.0; UNIX)
Infoseek Japan robot,Infoseek SideWinder/2.0B (Linux 2.4 i686)
Ilse Netherlands robot (62.69.178.xx),INGRID/3.0 MT (webcrawler@NOSPAMexperimental.net; http://webmaster.ilse.nl/jsp/webmaster.jsp)
Inktomi (Hotbot-Lycos NBCi etc.) robot,Inktomi Search
Enterprise Search engine software (64.202.165.xxx) ,InnerpriseBot/1.0 (http://www.innerprise.com/)
Insitor Search robot (80.67.20.1xx),Insitor.com search and find world wide!
Insitor Search robot (80.67.20.1xx),Insitornaut
download manager,InstallShield DigitalWizard
Integrity - website broken link checker for MAC OSx,integrity/1.6
Microton Intelix robot for Eurotran translation software ?,Intelix/0.x (cs; http://www.microton.cz/intelix/; microton@@microton.cz)
Interarchy file transfer software - SFTP/FTP client for Mac OS X,Interarchy/x.x.x (InterarchyCrawler)
Dream Train (Japan) Internet search robot,Internet Ninja x.0
Heritrix - The Internet Archive's open-source crawler based on Nutch (207.241.225.2xx),InternetArchive/0.8-dev(Nutch;http://lucene.apache.org/nutch/bot.html;nutch-agent@lucene.apache
Internet Link Agent - link checking tool,InternetLinkAgent/3.1
Internetseer Web site monitoring / Claymont robot,InternetSeer.com
intraVNews - Feed reader & RSS aggregator for Outlook,intraVnews/1.x
Internet Open Index crawler using Nutch,IOI/2.0 (ISC Open Index crawler; http://index.isc.org/; bot@index.isc.org)
IP*Works! HTTP Component,IP*Works! V5 HTTP/S Component - by /n software - www.nsoftware.com
IP2Location - Reverse lookup geographical data and ISP by IP,http://www.ip2location.com
IP2Map - geographical IP mapping,IP2MapBot/1.1 <a href=http://www.ip2map.com>http://www.ip2map.com</a>
Laurions Ipium robot,IPiumBot laurion(dot)com
Ipselon Web Search robot,IpselonBot/0.xx-beta (Ipselon; http://www.ipselon.com; ipselonbot@ipselon.com)
Iria download manager,Iria/1.xxa
IRL-crawler - Texas A&M University research project crawler,IRLbot/1.0 ( http://irl.cs.tamu.edu/crawler)
IRL-crawler - Texas A&M University research project crawler,IRLbot/3.0 (compatible; MSIE 6.0; http://irl.cs.tamu.edu/crawler/)
url_log - Irssi Perl url grabber,IrssiUrlLog/0.2
Irvine downloading tool,Irvine/1.x.x
Unknown spambot / harvester from diff. IPs,ISC Systems iRc Search 2.1
iSiloX document converter for iSilo reader,iSiloX/4.xx Windows/32
Unknown University of Alberta link-checking ?,isurf (tszhu@canada.com)
iTunes UA name for access and decrypt the iTunes music store pages,iTunes/x.x.x
Some spam bot from 66.139.78.xx(x),IUPUI Research Bot v 1.9a
iVia robot - Open source Internet portal & virtual library system software,iVia Page Fetcher (http://ivia.ucr.edu/useragents.shtml)
iVia robot - Open source Internet portal & virtual library system software,iVia/4.0 CanonizeUrl (http://infomine.ucr.edu/iVia/useragents.shtml
"BD BrandProtect - brand, company or trademarks online monitoring",IWAgent/ 1.0 - www.brandprotect.com
Proxy message from jp-q.ne.jp,J-PHONE/3.0/J-SH07
ODIN Directory Japan robot (163.138.95.xx),Jabot/6.x (http://odin.ingrid.org/)
ODIN Directory Japan robot (163.138.95.xx),Jabot/7.x.x (http://odin.ingrid.org/)
German Domanova (offline since Feb.02) robot,Jack
Jakarta Commons (Java based) HTTP client,Jakarta Commons-HttpClient/2.0xxx
Jakarta Commons (Java based) HTTP client,Jakarta Commons-HttpClient/3.0-rcx
JamBot search robot (70.146.82.xx),Jambot/0.1.x (Jambot; http://www.jambot.com/blog; crawler@jambot.com)
JamBot search robot,Jambot/0.2.1 (Jambot; http://www.jambot.com/blog/static.php?page=webmaster-robot; crawler@jambot.com)
Java VM,Java 1.1
Java VM,Java/1.4.1_01
Java VM,Java1.0.21.0
Java VM,Java1.1.xx.x
Java VM,Java1.3.0rc1
Java VM,Java1.3.x
Java VM,Java1.4.0
Jayde B2B Search robot (66.28.139.xx),Jayde Crawler. http://www.jayde.com
some site downloading tool ? via 61.77.51.xxx,JBH Agent 2.0
WAP 2.0 / jBrowser for handhelds,jBrowser/J2ME Profile/MIDP-1.0 Configuration/CLDC-1.0 (Google WAP Proxy/1.0)
JCheckLinks Java hyperlink validator,JCheckLinks/0.1 RPT-HTTPClient/0.3-1
Java Development Kit,JDK/1.1
Insignias Jeode (PDA) Java platform,Jeode/1.x.x
JetEye Search robot (64.62.142.xxx / 64.71.144.xxx),Jetbot/1.0
Omea RSS -  Atom - newsgroups web page reader ,JetBrains Omea Reader 1.0.x (http://www.jetbrains.com/omea_reader/)
Omea RSS -  Atom - newsgroups web page reader ,JetBrains Omea Reader 2.0 Release Candidate 1 (http://www.jetbrains.com/omea_reader/)
JetCar / Flashget download manager,JetCar
Jigsaw - W3C's CSS Validator Server,Jigsaw/2.2.x W3C_CSS_Validator_JFouffa/2.0
Jobo website downloading program,JoBo/1.x (http://www.matuschek.net/jobo.html)
Jobo website downloading program,JoBo/@JOBO_VERSION@(http://www.matuschek.net/jobo.html)
Finacialbot.com - German (213.61.218.xx) job search JobRoboter,JobSpider_BA/1.1
Jocsoft Web Spider - website downloading tool,JOC Web Spider
Jordo Media RSS / Atom feed directory link checking,JordoMedia/1.0 RSS File Reader (http://www.jordomedia.com)
Journster.com RSS/Atom aggregator,Journster [alpha] (http://journster.com/)
Journster.com RSS/Atom aggregator,Journster.com RSS/Atom aggregator 0.5 (http://www.journster.com/bot.phtml)
Check Favorites bookmark checking,JRTS Check Favorites Utility
Check Favorites bookmark checking,JRTwine Software Check Favorites Utility
Jyxo search (Czech Republic) robot (212.71.128.xx),Jyxobot/x
K-meleon browser -  Windows 2000,K-Meleon/0.6 (Windows; U; Windows NT 5.1; en-US; rv:0.9.5) Gecko/20011011
Verity K2 Spider ( Network search software),k2spider
Unknown robot from AITrc (Advanced Information Technology Research Center) - Korea,KAIST AITrc Crawler
Kakle ranked metasearch robot,KakleBot - www.kakle.com/0.1 (KakleBot - www.kakle.com; http:// www.kakle.com/bot.html; support@kakle.com)
Kalooga image crawler,kalooga/kalooga-4.0-dev-datahouse (Kalooga; http://www.kalooga.com; info@kalooga.com)
Kalooga image crawler,kalooga/KaloogaBot (Kalooga; http://www.kalooga.com/info.html?page=crawler; crawler@kalooga.com)
Kapere site grapper / web downloader,Kapere (http://www.kapere.com)
Kazehakase - Gecko based browser (Japan),Kazehakase/0.x.x.[x]
Openwave UP.Browser for mobiles via Google WAP Proxy (216.239.33.x),KDDI-SN22 UP.Browser/6.0.7 (GUI) MMP/1.1 (Google WAP Proxy/1.0)
Kenjin Spider search agent,Kenjin Spider
Dznet.com Kevin crawler (link checking ?) via 68.39.148.xx (nj.comcast.net),Kevin http://dznet.com/kevin/
Website AlertsKevin crawler (website monitoring) via 68.39.148.xx (nj.comcast.net),Kevin http://websitealert.net/kevin/
Voila.fr robot,KE_1.0/2.0 libwww/5.2.8
Some Perl search script from KFSW (Germany),KFSW-Bot (Version: 1.01 powered by KFSW www.kfsw.de)
kinja weblog search robot,kinja-imagebot (http://www.kinja.com/)
kinja weblog search robot,kinjabot (http://www.kinja.com)
Fireball search (Germany) robot,KIT-Fireball/2.0
Fireball search (Germany) robot,KIT-Fireball/2.0 (compatible; Mozilla 4.0; MSIE 5.5)
Klondike WAP Browser,Klondike/1.50 (WSP Win32) (Google WAP Proxy/1.0)
University of Washington KnowItAll - web information extraction,KnowItAll(knowitall@cs.washington.edu)
The knowledge.com (ODP) directory robot,Knowledge.com/0.x
Kontiki Client download manager,Kontiki Client x.xx
Krugle source code search engine for developers (64.71.164.1xx) ,"Krugle/Krugle,Nutch/0.8+ (Krugle web crawler; http://www.krugle.com/crawler/info.html; webcrawler@krugle.com)"
KnowledgeStorm technology industry crawler for Findtech.com,KSbot/1.0 (KnowledgeStorm crawler; http://www.knowledgestorm.com/resources/content/crawler/index.html; crawleradmin@knowledgestorm.com)
Kuloko contextual search robot,kuloko-bot/0.x
Kuloko contextual search robot,kulokobot www.kuloko.com kuloko@backweave.com
National Library of Sweden Heritage Project robot,kulturarw3/0.1
Link or server checking from Sanoma Budapest (195.70.35.xxx),KummHttp/1.1 (compatible; KummClient; Linux rulez)
UP.Browser for mobiles on Kyocera KWC-KX9 cellphone,KWC-KX9/1109 UP.Browser/6.2.3.9.g.1.107 (GUI) MMP/2.0 UP.Link/6.3.0.0.0
TREC Blog Track - Blog and news feed crawler,Labrador/0.2; http://ir.dcs.gla.ac.uk/labrador; craigm@dcs.gla.ac.uk
Intels Lachesis web site response time monitoring tool,Lachesis
Unknown robot from Easten Network China (202.96.51.1xx),lanshanbot/1.0
Unknown robot from Easten Network China (202.96.51.1xx),lanshanbot/1.0 (+http://search.msn.com/msnbot.htm)
Lapozz search (Hungary) robot (82.131.195.xx),LapozzBot/1.4 ( http://robot.lapozz.com)
Lapozz search (Hungary) robot (82.131.195.xx),LapozzBot/1.5 (+http://robot.lapozz.hu)
Larbin indexer used as Metacarta.com (66.28.xx.xxx) robot,larbin (samualt9@bigfoot.com)
Unknown robot from 66.230.140.xx (argon.oxeo.com),LARBIN-EXPERIMENTAL (efp@gmx.net)
Larbin indexer used by Mitsubishi Electric Research Labs,larbin_2.1.1 larbin2.1.1@somewhere.com
Larbin indexer used as Compete.com crawler,larbin_2.2.0 (crawl@compete.com)
Larbin indexer used as Inria robot,larbin_2.2.1_de_Viennot (Laurent.Viennot@inria.fr)
Larbin indexer used as Kyoto University robot,larbin_2.2.2 (sugayama@lab7.kuis.kyoto-u.ac.jp)
Larbin indexer used as Inria robot,larbin_2.2.2_guillaume (guillaume@liafa.jussieu.fr)
Larbin indexer used by an unknown dsl.net client,larbin_2.6.0 (larbin2.6.0@unspecified.mail)
Larbin indexer used by diff. IPs / services,larbin_2.6.1 (larbin2.6.1@unspecified.mail)
Larbin indexer used by National Institut of Informatics (NII/Japan),larbin_2.6.2 (hamasaki@grad.nii.ac.jp)
Larbin indexer used by diff. IPs,larbin_2.6.2 (larbin2.6.2@unspecified.mail)
Larbin indexer used as robot by Georgia Institute of Technology http://www.gatech.edu/,larbin_2.6.2 (listonATccDOTgatechDOTedu)
Larbin indexer used by Technical University of Crete,larbin_2.6.2 (pimenas@systems.tuc.gr)
Larbin indexer used as Lemur Consulting robot,larbin_2.6.2 (tom@lemurconsulting.com)
Larbin indexer used as robot via cloud9.net (168.100.192.xxx),larbin_2.6.2 (vitalbox1@hotmail.com)
Unknown robot from EPFL Lausanne Switzerland (128.178.155.1xx),larbin_2.6.3 (ltaa_web_crawler@groupes.epfl.ch)
Larbin indexer used by GenieKnows.com search,larbin_2.6.3 (wgao@genieknows.com)
Larbin indexer used by Next Generation Information Retrieval (NGIR),larbin_2.6.3_for_(http://cosco.hiit.fi/search/) tsilande@hiit.fi
Larbin indexer used by CEA / DCom Rechercher,larbin_2.6_basileocaml (basile.starynkevitch@cea.fr)
Larbin indexer used as Inria robot,larbin_devel (http://pauillac.inria.fr/~ailleret/prog/larbin/)
LawInfo - Lawyer and attorney directory,lawinfo-crawler/Nutch-0.9-dev (Crawler for lawinfo.com pages; http://www.lawinfo.com; webmaster@lawinfo.com)
ROADS - Perl web based subject based gateway tool,lc/$ROADS::Version libwww-perl/5.00
unknown robot via MTT.ca / Aliant.ca,lcabotAccept: */*
LeapTag news reader and content discovery tool,LeapTag/0.8.1.beta081.r3750 (compatible; Mozilla 4.0; MSIE 5.5; robot@yoriwa.com)
Linkexchange crawler,LECodeChecker/3.0 libgetdoc/1.0
Leechget download manager,LeechGet 200x (www.leechget.de)
Gseek.com (site is offline) robot,LEIA/2.90
Gseek.com (site is offline) robot,LEIA/3.01pr (LEIAcrawler; [SNIP])
Maybe logfile spamming for Lets crawl! search (Germany),LetsCrawl.com/1.0 +http://letscrawl.com/
Lexibot (exMataHari) search software,LexiBot/1.00
Polaris mobile browser on LG LX 260 Sprint Rumor phone,LG-LX260 POLARIS-LX260/2.0 MMP/2.0 Profile/MIDP-2.0 Configuration/CLDC-1.1
LG 8138 Mobile Phone browser,LG/U8138/v1.0
About.com robot,Libby_1.1/libwww-perl/5.47
libcurl's (multiprotocol file transfer library) standard user-agent name,libcurl-agent/1.0
LibertyW search for mobile (France),LibertyW (+http://www.lw01.com)
Korea Telecom Search robot,libWeb/clsHTTP -- hiongun@kt.co.kr
CMP United Media robot,libwww-perl/5.41
SplatSearch robot (207.44.142.xx),libwww-perl/5.45
Alexa robot,libwww-perl/5.48
diff. IPs / services,libwww-perl/5.50
Fast Search robot,libwww-perl/5.52 FP/2.1
Fast Search robot,libwww-perl/5.52 FP/4.0
diff. IPs / services,libwww-perl/5.53
Profile for You internet profiling (?),libwww-perl/5.63
unknown link checking from Wanadoo.fr (193.253.33.xxx),libwww-perl/5.64
Amidalla search engine robot (62.241.33.xx),libwww-perl/5.65
SplatSearch robot (72.36.210.xx),libwww-perl/5.800
Mediater Rechercher robot,libwww/5.3.2
Liferea - Linux feed reader,Liferea/0.x.x (Linux; en_US.UTF-8; http://liferea.sf.net/)
Liferea (Linux Feed Reader) news aggregator for Unix and Linux,Liferea/1.x.x (Linux; es_ES.UTF-8; http://liferea.sf.net/)
Lightning Download manager,LightningDownload/1.0beta2
Lightning Download manager,LightningDownload/1.x.x
Lightning Download manager,LightningDownload/1.x.x [Accelerated x]
Lijit blog search spider,LijitSpider/Nutch-0.9 (Reports crawler; http://www.lijit.com/; info(a)lijit(d)com)
Some spam bot,Lincoln State Web Browser
Link Valet online link checking,Link Valet Online 1.x
Linkalarm link validation,LinkAlarm/2.x
Linkbot Pro link checking software,Linkbot
Rpsoft 2000 Site-Crawler,linkbot
Linkbot Pro link checking software,Linkbot x.0
Linkcheck - linkchecking tool for Unix/Linux,LinkCheck (linkcheck@inter7.com http://www.inter7.com/linkcheck)
Linklint - Perl html link checker,LinkLint-checkonly/2.x.x
Linklint - Perl html link checker,LinkLint-spider/2.x.x
Linknz - The Kiwi Search Engine (New Zealand),linknzbot
Link-Pimp web directory link checking,LinkPimpin v1.0
TafWeb link checking program,LinkProver 2.1
Links text browser for Unix & OS/2,Links (0.9x; Linux 2.4.7-10 i686)
Links text browser for Unix & OS/2,Links (0.9xpre12; Linux 2.2.14-5.0 i686; 80x24)
Links text browser for Unix & OS/2,Links (2.xpre7; Linux 2.4.18 i586; x)
Links SQL directory management program,Links - http://gossamer-threads.com/scripts/links/
Links SQL directory management program,Links 2.0 (http://gossamer-threads.com/scripts/links/)
Links SQL directory management program,Links SQL (http://gossamer-threads.com/scripts/links-sql/)
Links4us ODP based directory link checking,"Links4US-Crawler, (+http://links4us.com/)"
Shareware robot from Elsop.com (used by Indiafocus/Indiainfo and others),LinkScan/11.0beta2 UnixShareware robot from Elsop.com (used by Indiafocus/Indiainfo)
Shareware robot from Elsop.com (used by Indiafocus/Indiainfo and others),LinkScan/9.0g Unix
Shareware robot from Elsop.com,LinkScan/x.x Unix
Linksmanager bookmark checking,LinksManager.com (http://linksmanager.com/linkchecker.html)
LinkSonar (Japan) link checking tool,LinkSonar/1.35
Left Side Software's LinkSweeper (ceased) bookmark utility,LinkSweeper/1.x
Seventwentyfour link checking robot,LinkWalker
link check 3 - Perl HTML link checker (from Perl for Web Site Management),link_check3.plx libwww-perl/5.65
Listbid.com / Directnic.com link checking ?,ListBidBot (freelance job spider http://listbid.com)<a href=http://listbid.com>Freelance</a>
WKD Lab: LiveTrans - Online query and terminology translation service,LiveTrans/Nutch-0.9 (maintainer: cobain at iis dot sinica dot edu dot tw; http://wkd.iis.sinica.edu.tw/LiveTrans/)
llaut robot - Universitat de les Illes Balears (Spain),Llaut/1.0 (http://mnm.uib.es/~gallir/llaut/bot.html)
E-Mail harvesting robot - same as ContactBot,LMQueueBot/0.2
lmspider from Scansoft (192.133.61.xx) - Web text collector,lmspider (lmspider@scansoft.com)
Lexis-Nexis robot,LNSpiderguy
LocalBot company information collector,LocalBot/1.0 ( http://www.localbot.co.uk/)
Local.com local search robot (216.52.252.xxx),LocalcomBot/1.2.x ( http://www.local.com/bot.htm)
Lockstep (website content protection tool) user agent,Lockstep Spider/1.0
GlobalQueue spider (64.40.105.xxx),Look.com
Lotus Notes browser,Lotus-Notes/4.5 ( Windows-NT )
IBM Lotus Discovery Server,LotusDiscovery/x.0 (compatible; Mozilla 4.0; MSIE 4.01; Windows NT)
Everatom.com song lyrics search,Lovel as 1.0 ( +http://www.everatom.com)
LTI - The Lemur Toolkit for Language Modeling and Information Retrieval via Yahoo,LTI/LemurProject Nutch Spider/Nutch-1.0-dev (lti crawler for CMU; http://www.lti.cs.cmu.edu; changkuk at cmu dot edu)
LTI - The Lemur Toolkit for Language Modeling and Information Retrieval via Yahoo,LTI/LemurProject Nutch Spider/Nutch-1.0-dev (Research spider using Nutch; http://www.lemurproject.org; mhoy@cs.cmu.edu)
Luchs.at (Linux Wiki) link checking,luchs.at URL checker
Lunascape IE based browser (Japan),Lunascape
Ultimate Search / Smartdesk (no website) robot,lwp-trivial/1.32
Search4free robot,lwp-trivial/1.34
Search4free robot,lwp-trivial/1.34
Expert HTML online source viewer,lwp-trivial/1.35
Expert HTML online source viewer,lwp-trivial/1.35
Perl LWP:Collective module,LWP::Simple/5.22
Perl LWP:Collective module,LWP::Simple/5.36
Perl LWP:Collective module - Linkomatic robot,LWP::Simple/5.48
